sample_id,vcmax,rl0,q10
1,28.737212,0.538736,1.79279
2,29.812138,0.485618,1.750663
3,31.50568,0.437167,1.712236
4,33.603214,0.400324,1.683015
5,35.835437,0.380459,1.667261
6,37.914817,0.380648,1.66741
7,39.574509,0.401248,1.683748
8,40.604469,0.439856,1.714368
9,40.879887,0.491631,1.755431
10,40.378074,0.54995,1.801685
11,39.181537,0.607305,1.847173
12,37.46681,0.656318,1.886045
13,35.480563,0.690739,1.913345
14,33.506214,0.706295,1.925682
15,31.825569,0.701264,1.921692
16,30.680686,0.676712,1.90222
17,30.241107,0.636347,1.870207
18,30.580916,0.586017,1.830289
19,31.668711,0.532918,1.788176
20,33.371851,0.484621,1.749872
21,35.474415,0.448048,1.720865
22,37.706418,0.428533,1.705388
23,39.780357,0.429103,1.70584
24,41.430125,0.450064,1.722465
25,42.44702,0.488965,1.753317
26,42.708001,0.540925,1.794527
27,42.192333,0.599296,1.840821
28,40.984397,0.656562,1.886239
29,39.262272,0.705357,1.924939
30,37.273628,0.739463,1.951988
31,35.302206,0.754646,1.96403
32,33.629419,0.749238,1.95974
33,32.496258,0.724354,1.940005
34,32.070682,0.683747,1.907799
35,32.424877,0.633297,1.867788
36,33.525495,0.580218,1.82569
37,35.23816,0.532078,1.78751
38,37.34566,0.495778,1.75872
39,39.577344,0.476613,1.743521
40,41.645752,0.477565,1.744275
41,43.285524,0.498887,1.761186
42,44.289312,0.538079,1.792269
43,44.535849,0.590221,1.833624
44,44.006354,0.64864,1.879956
45,42.787081,0.705815,1.925302
46,41.057643,0.754391,1.963828
47,39.066698,0.788179,1.990625
48,37.0983,0.80299,2.002372
49,35.433453,0.797204,1.997783
50,34.312073,0.771989,1.977785
51,33.900524,0.731142,1.945389
52,34.269094,0.680577,1.905285
53,35.382489,0.627521,1.863206
54,37.104604,0.57954,1.825153
55,39.216948,0.543513,1.79658
56,41.448214,0.524701,1.781659
57,43.510999,0.526033,1.782716
58,45.140704,0.547716,1.799912
59,46.131344,0.587197,1.831225
60,46.36343,0.639519,1.872722
61,45.820139,0.697985,1.919092
62,44.58959,0.755066,1.964362
63,42.852923,0.80342,2.002713
64,40.859775,0.836889,2.029257
65,38.894499,0.851327,2.040708
66,37.237674,0.845164,2.03582
67,36.128132,0.81962,2.01556
68,35.730633,0.778535,1.982976
69,36.113566,0.727856,1.942782
70,37.239691,0.674825,1.900724
71,38.971182,0.627006,1.862798
72,41.088277,0.591255,1.834444
73,43.319027,0.572795,1.819803
74,45.376098,0.574509,1.821163
75,46.995666,0.59655,1.838643
76,47.973116,0.63632,1.870185
77,48.190746,0.68882,1.911823
78,47.633687,0.747329,1.958226
79,46.391926,0.804313,2.003421
80,44.648116,0.852444,2.041594
81,42.652863,0.885593,2.067884
82,40.690803,0.899657,2.079038
83,39.042082,0.893118,2.073852
84,37.944435,0.867245,2.053332
85,37.561011,0.825924,2.020561
